Homework Avg,Compulsory Activities Avg,Optional Activities Avg,Final Exam
10.0,9.875,3.25,10.0
9.475,7.35,2.87,9.1
7.775,9.6875,0.0,9.0
6.2,7.875,1.78,8.8
9.75,9.5625,2.05,8.8
9.125,6.875,3.88,8.5
6.95,8.125,2.98,8.5
8.75,10.0,4.6,8.4
7.4,8.4375,2.5,8.2
7.525,6.1625,1.17,8.1
9.875,10.0,1.3,7.7
8.975,8.9375,3.0,7.7
6.45,4.6875,2.3,7.6
6.8,6.65,0.75,7.6
7.125,8.5625,1.7,7.6
9.5,8.125,3.63,7.5
6.425,4.55,1.2,7.5
6.9,7.6625,2.62,7.5
9.925,0.0,0.4,7.4
6.725,7.625,1.88,7.4
6.475,5.125,0.0,7.3
6.3,8.7875,0.0,7.3
6.3,5.975,0.98,7.2
9.75,9.625,4.2,7.2
7.275,9.8125,0.0,7.2
6.275,5.275,1.68,7.0
6.55,6.3125,0.3,7.0
6.125,9.3125,0.85,7.0
6.75,4.9625,2.02,7.0
7.725,9.625,4.13,6.9
6.05,3.5625,0.4,6.8
6.575,5.1,1.05,6.7
7.75,7.5625,1.98,6.7
7.125,7.125,0.0,6.5
6.625,2.2125,0.25,6.5
5.775,5.9125,0.0,6.5
8.0,10.0,0.0,6.4
6.125,7.5625,0.0,6.3
5.425,4.0625,0.1,6.3
7.65,8.0,1.97,6.0
6.5,4.75,2.23,6.0
6.25,8.625,2.5,6.0
6.0,8.6375,2.23,5.8
6.575,3.5,0.0,5.7
6.6,5.1875,0.4,5.7
7.6,7.875,0.0,5.6
5.775,5.8375,1.0,5.5
6.3,9.0625,3.64,5.5
6.7,9.875,0.4,5.5
5.3,7.9375,1.13,5.4
5.75,6.5625,2.53,5.3
5.925,2.125,0.28,5.3
5.4,4.5,0.2,5.3
5.8,5.5,2.67,5.3
5.425,4.2125,0.0,5.3
9.175,9.875,0.5,5.3
6.175,9.375,0.3,5.3
7.15,7.925,2.93,5.3
8.75,9.6875,0.55,5.2
7.75,7.5,0.2,5.2
7.55,7.65,2.65,5.2
5.025,2.8375,0.32,5.1
5.725,8.875,0.0,5.1
7.025,8.375,2.3,5.0
6.25,4.025,0.0,5.0
5.55,0.0,0.3,5.0
5.075,1.7125,0.0,5.0
7.75,9.1875,0.0,5.0
6.275,7.375,1.2,5.0
5.8,8.125,0.5,5.0
6.75,9.2125,1.55,5.0
7.675,9.4625,4.57,5.0
5.7,1.75,0.2,5.0
6.975,8.9625,0.0,5.0
7.225,9.25,0.3,5.0
6.45,4.375,0.4,8.1
5.625,4.5875,0.6,6.0
5.125,4.75,0.0,6.0
5.075,7.5625,0.0,5.0
8.175,8.475,0.0,5.0
5.525,8.925,3.4,5.0
5.55,5.4375,0.0,3.9
6.0,7.625,0.0,3.6
5.8,5.375,1.7,7.0
5.025,0.5625,0.0,5.0
5.75,7.2,3.02,5.0
5.425,7.75,0.0,5.0
8.35,8.8375,0.0,3.0
5.425,0.0,0.0,2.8
6.275,6.025,1.05,5.4
5.475,3.75,0.0,2.7
6.325,6.8125,0.0,2.6
6.075,8.1,0.45,6.1
7.925,8.85,0.0,5.1
5.4,1.5375,0.0,2.9
5.325,0.0,0.0,5.1
5.95,8.75,0.0,2.3
6.625,9.125,2.65,5.6
5.3,0.0,0.0,3.0
5.5,4.5625,0.0,1.5
5.85,0.25,0.0,1.1
5.4,4.3125,0.4,0.0
6.575,9.1625,0.0,0.0
4.425,4.1875,1.57,0.0
5.875,0.0,0.0,0.0
6.325,8.125,0.0,0.0
2.35,0.0,0.0,0.0
9.675,8.9375,3.17,9.1
5.775,2.775,0.15,5.5
5.825,0.0,0.0,5.5
6.7,9.2875,0.0,5.5
6.225,5.6875,2.61,5.0
5.65,4.8125,1.37,5.0
5.325,0.0,0.0,5.0
5.425,4.1875,0.0,5.0
6.225,8.0625,0.4,5.0
6.65,7.4375,1.37,3.5
5.775,5.85,0.0,3.0
6.0,2.875,0.0,2.4
6.775,9.625,0.0,1.7
5.725,2.625,0.65,1.0
2.125,0.0,0.05,0.0
0.3,0.0,0.0,0.0
5.775,0.0,0.0,0.0
5.75,0.25,0.0,0.0
6.6,9.675,3.08,0.0
7.55,0.0,0.0,0.0
0.175,0.875,0.0,0.0
5.175,0.0,0.0,0.0
0.725,3.1625,0.8,0.0
1.375,0.9375,0.0,0.0
5.8,8.0875,0.15,0.0
3.2,0.0,0.0,0.0
0.0,0.0,0.0,0.0
7.175,4.5,0.8,0.0
5.075,2.5625,0.0,0.0
6.9,8.5375,0.8,0.0
5.9,9.625,0.0,0.0
4.375,4.0,0.0,0.0
6.05,4.8125,0.9,0.0
6.35,0.0,0.0,0.0
5.025,6.2875,1.1,0.0
0.7,2.25,1.07,0.0
3.875,0.0,0.0,0.0
0.0,0.0,0.0,0.0
5.375,0.0,0.0,0.0
5.975,9.5,0.0,0.0
6.05,3.8,1.9,0.0
4.1,0.0,0.0,0.0
0.0,0.0,0.0,0.0
5.05,0.0,0.0,0.0
0.225,1.125,0.0,0.0
3.75,0.375,0.0,0.0
0.25,1.25,0.0,0.0
0.025,0.125,0.0,0.0
5.25,7.475,0.33,0.0
8.65,5.15,0.0,0.0
5.8,0.0,0.0,0.0
5.7,4.4125,0.97,0.0
